CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP
48141010346,Texas,El Paso,4445,1854.9,0,1373,461,47,544
48141010347,Texas,El Paso,4350,1870.7,0,1461,272,29,504
48141010401,Texas,El Paso,5981,853.32,0,1791,623,103,622
48141010404,Texas,El Paso,4726,2827.51,0,1511,434,37,285
48141010405,Texas,El Paso,6261,4707.25,1,2128,483,169,703
48141010406,Texas,El Paso,4395,3903.8,0,1592,257,66,526
48141010407,Texas,El Paso,6341,5390.85,1,2343,356,137,1058
48141010408,Texas,El Paso,4019,699.92,0,1186,399,106,457
48141010409,Texas,El Paso,6377,466.13,0,2399,403,40,350
48141010505,Texas,El Paso,4000,457.14,0,1317,466,163,450
48143950300,Texas,Erath,6193,1011.41,0,1778,806,120,433
48143950400,Texas,Erath,6517,752.16,0,1073,901,74,144
48143950500,Texas,Erath,6967,2985.39,1,1408,502,199,418
48143950600,Texas,Erath,3153,1037.15,0,602,350,68,216
48145000300,Texas,Falls,3708,425.21,0,973,623,125,349
48147950401,Texas,Fannin,4510,544.72,0,645,358,94,284
48147950402,Texas,Fannin,6442,1791.51,0,1339,1418,113,251
48153950600,Texas,Floyd,3824,232.31,0,1114,654,97,334
48155950100,Texas,Foard,1336,494.71,1,278,319,33,55
48157670101,Texas,Fort Bend,6801,311.35,0,2336,359,70,557
48157670400,Texas,Fort Bend,5058,2071.26,0,1489,386,78,410
48157670602,Texas,Fort Bend,1907,756.28,0,558,108,25,199
48157672002,Texas,Fort Bend,6279,556.15,1,1273,515,403,257
48157672601,Texas,Fort Bend,10258,2556.26,1,3284,536,134,360
48157674800,Texas,Fort Bend,5645,940.09,1,1607,624,528,556
48157674900,Texas,Fort Bend,5543,3854.82,1,1684,480,138,546
48157675000,Texas,Fort Bend,3224,272.91,0,1019,274,70,293
48157675200,Texas,Fort Bend,5623,932.32,0,1665,582,108,520
48157675300,Texas,Fort Bend,6679,3581.15,1,1976,780,152,479
48163950200,Texas,Frio,6343,1194.67,1,1521,587,199,467
48163950300,Texas,Frio,4674,1025.8,1,1077,453,104,310
48167721100,Texas,Galveston,10440,2118.64,1,3258,728,144,707
48167721600,Texas,Galveston,1900,520.48,0,464,233,51,116
48167721700,Texas,Galveston,7937,212.4,0,2207,680,181,560
48167721800,Texas,Galveston,4540,2007.81,0,910,565,51,275
48167722700,Texas,Galveston,4200,1024.42,1,1011,765,156,428
48167722800,Texas,Galveston,2538,835.22,0,660,359,70,200
48167722900,Texas,Galveston,2608,683.72,1,682,418,105,220
48167723000,Texas,Galveston,3319,364.95,0,829,502,97,341
48167723200,Texas,Galveston,3362,1331.13,0,821,500,87,269
48167723700,Texas,Galveston,2170,1260.08,1,665,261,105,207
48167724000,Texas,Galveston,2393,793.7,0,113,80,3,25
48167724101,Texas,Galveston,1241,258.29,1,196,239,161,67
48167726200,Texas,Galveston,2938,697.94,0,801,334,101,241
48177000300,Texas,Gonzales,3520,496.99,0,993,522,113,307
48179950800,Texas,Gray,1659,401.0,0,554,181,33,118
48181000400,Texas,Grayson,2861,561.79,0,663,477,102,359
48181000501,Texas,Grayson,3689,596.16,1,955,647,205,385
48181000700,Texas,Grayson,3971,828.69,1,997,542,152,508
48181000902,Texas,Grayson,6542,573.2,1,1413,1329,218,351
48181001400,Texas,Grayson,5521,639.94,1,1407,442,137,286
48181001500,Texas,Grayson,6419,2615.97,1,1827,691,170,729
48181002000,Texas,Grayson,3072,867.36,0,868,248,136,330
48183000800,Texas,Gregg,7018,2463.52,0,2228,587,51,522
48183000900,Texas,Gregg,3143,915.17,0,895,278,63,202
48183001100,Texas,Gregg,4643,749.74,1,1006,550,339,443
48183001200,Texas,Gregg,3022,358.14,1,1036,229,99,208
48183001400,Texas,Gregg,4013,846.78,1,1276,326,256,450
48183001500,Texas,Gregg,4934,1998.33,1,1094,508,210,319
48183010301,Texas,Gregg,5023,547.76,0,1572,397,55,257
48183010700,Texas,Gregg,4929,658.22,0,1450,321,100,299
48187210200,Texas,Guadalupe,4528,2969.42,1,1414,502,149,326
48187210300,Texas,Guadalupe,6221,3101.85,1,1613,712,393,639
48187210505,Texas,Guadalupe,4949,2840.61,0,1647,302,0,217
48191950500,Texas,Hall,3353,260.68,1,867,759,96,174
48193950300,Texas,Hamilton,3449,321.73,1,758,907,136,267
48199030700,Texas,Hardin,3793,627.01,0,971,655,87,408
48199030800,Texas,Hardin,4706,1013.67,1,1195,771,147,339
48201211100,Texas,Harris,6004,1025.51,1,1781,641,450,674
48201211300,Texas,Harris,5046,1580.54,1,1469,612,744,708
48201211400,Texas,Harris,3690,310.6,1,1164,242,412,526
48201211500,Texas,Harris,6907,1023.51,1,2174,569,262,377
48201211700,Texas,Harris,3886,684.24,1,1034,522,383,584
48201212500,Texas,Harris,3610,2168.48,1,800,824,180,300
