,CensusTract,State,County,LALOWI1_20,GEOID,INTPTLAT,INTPTLON,LAT,LON
106,48029980100,Texas,Bexar,91.6953623355366,48029980100,+29.3897891,-098.5823980,29.3897891,-98.582398
107,48037010400,Texas,Bowie,2694.9166681731,48037010400,+33.4041305,-094.0751332,33.4041305,-94.0751332
108,48037011000,Texas,Bowie,315.712553997807,48037011000,+33.4239251,-094.1352026,33.4239251,-94.1352026
109,48037011502,Texas,Bowie,327.612105350556,48037011502,+33.5338588,-094.4344351,33.5338588,-94.4344351
110,48039660900,Texas,Brazoria,2919.62781321868,48039660900,+29.5052895,-095.2859576,29.5052895,-95.2859576
111,48039661400,Texas,Brazoria,971.039288127707,48039661400,+29.4090858,-095.2599055,29.4090858,-95.2599055
112,48039664200,Texas,Brazoria,864.463315612889,48039664200,+29.0074920,-095.3528827,29.007492,-95.3528827
113,48039664300,Texas,Brazoria,2380.55626649921,48039664300,+28.9706166,-095.3598654,28.9706166,-95.3598654
114,48041000300,Texas,Brazos,2527.7360362666,48041000300,+30.7070076,-096.3864415,30.7070076,-96.3864415
115,48041000400,Texas,Brazos,336.496594306081,48041000400,+30.6825262,-096.3545283,30.6825262,-96.3545283
116,48041000500,Texas,Brazos,503.183827459812,48041000500,+30.6820428,-096.3859410,30.6820428,-96.385941
117,48041000603,Texas,Brazos,510.090230077505,48041000603,+30.6676875,-096.3886579,30.6676875,-96.3886579
118,48041000604,Texas,Brazos,1471.3491948843,48041000604,+30.6527122,-096.3844611,30.6527122,-96.3844611
119,48041001301,Texas,Brazos,792.956212997436,48041001301,+30.6382223,-096.3233854,30.6382223,-96.3233854
120,48041001302,Texas,Brazos,1695.66756606765,48041001302,+30.6322259,-096.3136454,30.6322259,-96.3136454
121,48041001601,Texas,Brazos,1110.95615274331,48041001601,+30.6075174,-096.3282144,30.6075174,-96.3282144
122,48041001604,Texas,Brazos,2215.15811151266,48041001604,+30.5957722,-096.3154432,30.5957722,-96.3154432
123,48041001605,Texas,Brazos,1554.02245528437,48041001605,+30.5976885,-096.3256863,30.5976885,-96.3256863
124,48041001701,Texas,Brazos,406.771792590618,48041001701,+30.6180710,-096.3065700,30.618071,-96.30657
125,48041001803,Texas,Brazos,2206.11721577156,48041001803,+30.5821958,-096.3118109,30.5821958,-96.3118109
126,48041002012,Texas,Brazos,5989.80615655332,48041002012,+30.5988888,-096.3467825,30.5988888,-96.3467825
127,48041002013,Texas,Brazos,2155.9167582049,48041002013,+30.5428836,-096.3255352,30.5428836,-96.3255352
128,48041002014,Texas,Brazos,1164.53205500674,48041002014,+30.5561770,-096.3780527,30.556177,-96.3780527
129,48045950200,Texas,Briscoe,698.627447292648,48045950200,+34.5251725,-101.2058930,34.5251725,-101.205893
130,48047950200,Texas,Brooks,560.399176523522,48047950200,+27.2235509,-098.1420141,27.2235509,-98.1420141
